Dataset,MissingRatio,Alpha,Lambda,MeanACC,StdACC,MeanNMI,StdNMI,MeanARI,StdARI,SolverFailureRate,MeanMinResolventDenom,StdMinResolventDenom,MeanSpectralGap,StdSpectralGap,MeanLargestComponentRatio,StdLargestComponentRatio,NumericBoundaryCrossed,TopologyBoundaryCrossed,FrozenMRatio,FrozenK
SUNRGBD_2v_10335n_45c_fea_zscore,0.97,0.995,0.005025126,0.143512337,0.009467372,0.159059358,0.004748968,0.053036185,0.002986624,0,0.005,1.44E-15,0.002419919,0.001826324,1,0,0,0.4,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.97,0.997,0.003009027,0.139351717,0.00765109,0.153207117,0.003000582,0.049223533,0.002497574,0,0.003,2.42E-15,0.001854954,0.001345693,1,0,0,0.4,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.97,0.999,0.001001001,0.140919207,0.003322076,0.159967794,0.003008004,0.050982511,0.002294896,0,0.001,1.49E-15,0.002963794,0.002928758,1,0,0.4,0.4,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.97,0.9995,0.00050025,0.143164006,0.006429388,0.155587423,0.00659336,0.051311928,0.002955855,0,0.0005,1.65E-15,0.002742479,0.001503881,1,0,1,0,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.97,0.9999,0.00010001,0.13848089,0.006772203,0.158667849,0.004233243,0.049985075,0.001998714,0,0.0001,1.34E-15,0.004105741,0.001834644,1,0,1,0,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.98,0.995,0.005025126,0.145815191,0.003744945,0.160124092,0.004883554,0.054775226,0.003379464,0,0.005,1.42E-15,0.004041221,0.002221971,1,0,0,0,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.98,0.997,0.003009027,0.145834543,0.006483331,0.160069823,0.004014272,0.052237745,0.002960211,0,0.003,1.52E-15,0.004666559,0.003474412,1,0,0,0.2,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.98,0.999,0.001001001,0.14838897,0.008403415,0.163025644,0.003970968,0.056248777,0.003165033,0,0.001,2.66E-15,0.002735444,0.001276146,1,0,0.4,0,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.98,0.9995,0.00050025,0.147363328,0.009273441,0.16053018,0.003979871,0.052889762,0.004398569,0,0.0005,2.88E-15,0.001707501,0.001523263,1,0,1,0.4,5,5
SUNRGBD_2v_10335n_45c_fea_zscore,0.98,0.9999,0.00010001,0.139680697,0.00545018,0.160534024,0.001371397,0.052483877,0.001260461,0,1.00E-04,3.97E-16,0.002002909,0.001567881,1,0,1,0.6,5,5
